iter	Passed	Remaining
0	7	2212
1	14	2155
2	21	2133
3	28	2120
4	37	2190
5	45	2214
6	53	2254
7	61	2257
8	69	2251
9	77	2241
10	85	2239
11	93	2247
12	101	2250
13	109	2242
14	118	2254
15	126	2240
16	134	2241
17	142	2231
18	149	2214
19	157	2211
20	165	2195
21	173	2187
22	180	2173
23	188	2164
24	196	2161
25	205	2165
26	213	2156
27	222	2164
28	234	2186
29	248	2240
30	261	2271
31	272	2280
32	284	2299
33	295	2311
34	306	2317
35	318	2333
36	329	2342
37	341	2353
38	353	2362
39	363	2364
40	376	2379
41	388	2388
42	400	2392
43	408	2376
44	416	2357
45	424	2346
46	433	2332
47	441	2315
48	448	2298
49	457	2289
50	466	2275
51	475	2266
52	506	2359
53	514	2345
54	523	2331
55	532	2320
56	541	2307
57	549	2293
58	558	2280
59	566	2264
60	574	2252
61	583	2237
62	591	2224
63	599	2211
64	608	2201
65	617	2187
66	625	2174
67	633	2162
68	640	2145
69	648	2130
70	658	2124
71	667	2113
72	675	2101
73	684	2089
74	692	2078
75	702	2069
76	709	2056
77	718	2043
78	725	2029
79	733	2016
80	742	2007
81	751	1998
82	759	1986
83	768	1975
84	775	1962
85	783	1950
86	793	1943
87	802	1933
88	810	1921
89	819	1911
90	826	1899
91	835	1889
92	843	1877
93	852	1868
94	860	1856
95	868	1846
96	877	1836
97	887	1829
98	896	1819
99	905	1811
100	916	1805
101	923	1793
102	932	1784
103	940	1771
104	948	1761
105	957	1752
106	966	1743
107	975	1733
108	984	1724
109	992	1714
110	1000	1704
111	1009	1694
112	1017	1684
113	1025	1673
114	1034	1664
115	1043	1655
116	1052	1645
117	1063	1639
118	1073	1632
119	1086	1629
120	1095	1620
121	1105	1613
122	1114	1604
123	1124	1595
124	1135	1589
125	1142	1577
126	1152	1570
127	1165	1565
128	1174	1557
129	1188	1553
130	1198	1546
131	1207	1536
132	1218	1529
133	1228	1521
134	1237	1512
135	1246	1503
136	1255	1493
137	1264	1484
138	1272	1474
139	1283	1467
140	1296	1462
141	1318	1466
142	1331	1461
143	1342	1454
144	1355	1448
145	1371	1446
146	1384	1440
147	1397	1434
148	1409	1428
149	1420	1420
150	1433	1414
151	1445	1407
152	1453	1396
153	1463	1387
154	1472	1377
155	1480	1366
156	1488	1355
157	1497	1345
158	1505	1335
159	1513	1324
160	1521	1313
161	1530	1303
162	1538	1293
163	1545	1281
164	1552	1270
165	1562	1260
166	1573	1252
167	1582	1243
168	1591	1234
169	1599	1223
170	1607	1213
171	1615	1202
172	1623	1191
173	1631	1181
174	1639	1171
175	1647	1160
176	1655	1150
177	1663	1140
178	1671	1129
179	1679	1119
180	1687	1109
181	1695	1099
182	1704	1089
183	1712	1079
184	1719	1069
185	1727	1058
186	1735	1048
187	1742	1038
188	1750	1028
189	1759	1018
190	1767	1008
191	1775	998
192	1783	988
193	1792	979
194	1800	969
195	1808	959
196	1865	975
197	1882	969
198	1889	959
199	1898	949
200	1907	939
201	1915	929
202	1923	919
203	1930	908
204	1938	898
205	1946	888
206	1956	878
207	1964	868
208	1972	858
209	1980	848
210	1987	838
211	1995	828
212	2004	818
213	2012	808
214	2020	798
215	2028	788
216	2037	779
217	2046	769
218	2054	759
219	2061	749
220	2068	739
221	2077	730
222	2085	720
223	2094	710
224	2101	700
225	2110	691
226	2118	681
227	2125	671
228	2132	661
229	2140	651
230	2148	641
231	2155	631
232	2164	622
233	2172	612
234	2179	602
235	2187	593
236	2195	583
237	2202	573
238	2210	564
239	2219	554
240	2227	545
241	2239	536
242	2248	527
243	2256	517
244	2264	508
245	2272	498
246	2279	489
247	2287	479
248	2294	470
249	2302	460
250	2310	451
251	2319	441
252	2327	432
253	2335	422
254	2346	414
255	2355	404
256	2365	395
257	2373	386
258	2381	377
259	2389	367
260	2397	358
261	2404	348
262	2413	339
263	2422	330
264	2430	320
265	2438	311
266	2448	302
267	2460	293
268	2470	284
269	2483	275
270	2494	266
271	2507	258
272	2516	248
273	2527	239
274	2540	230
275	2552	221
276	2564	212
277	2575	203
278	2588	194
279	2599	185
280	2609	176
281	2619	167
282	2627	157
283	2637	148
284	2645	139
285	2654	129
286	2665	120
287	2674	111
288	2683	102
289	2691	92
290	2700	83
291	2708	74
292	2716	64
293	2725	55
294	2734	46
295	2742	37
296	2752	27
297	2761	18
298	2771	9
299	2783	0
